,tst,a,b,mean_mse
0,1-0,11.96239935725851,12.024158116427916,9.611821475786998
1,1-1,11.995904945855898,12.057725264796558,9.709810285538985
2,1-2,12.030640621206553,12.092459685811496,9.809036183076753
3,1-3,12.030640621206553,12.092459685811496,9.871536183076753
4,1-4,11.978177843073206,12.040170201838682,9.879502551909773
5,1-5,8.542596489291345,8.379589244737062,7.739791444399396
6,1-6,8.564823283006115,8.404423873221965,7.793170901827785
7,1-7,8.516177336803448,8.35519501876524,7.890339811299464
8,1-8,8.52960186163668,8.370179832330276,7.946885709834314
9,1-9,8.537119451708511,8.37578650028097,7.998470987695824
10,1-10,6.388860994246461,6.267001855657036,12.898771540676819
11,1-11,6.4401580537230965,6.382918245318006,12.86508302342051
12,1-12,6.457089627116905,6.332842037807945,12.738955896168571
13,1-13,6.469923072943384,6.345036275314967,12.748875346141116
14,1-14,6.430052122785959,6.373013286859379,13.09369912330392
15,1-15,4.249340633647889,4.183674542353903,30.41754843696711
16,1-16,4.236898325969507,4.169207088773328,30.651658096024033
17,1-17,4.272569220096051,4.205897235488359,30.234320792414167
18,1-18,4.246101599650026,4.179197331641862,30.65095941350955
19,1-19,4.2631994304262335,4.198204150539553,30.48086548416198
20,2-0,6.768715196522719,6.432316802166651,12.02124119946701
21,2-1,6.751998478386906,6.416762550546995,12.143685673471854
22,2-2,6.768837337653956,6.432468489450412,12.14576590102984
23,2-3,6.786926722769579,6.449235923218323,12.144119878772015
24,2-4,6.774635020625811,6.437778845055257,12.250199538317476
25,2-5,8.792365507028142,8.268824920144842,8.323926663730807
26,2-6,8.941323039483875,8.40954340762272,8.275432940282341
27,2-7,8.72792425220552,8.2069509227972,8.503122219911944
28,2-8,8.41506353565722,8.021741828095914,8.901328464753961
29,2-9,8.474012493135998,8.081713855511126,8.90354853799532
30,2-10,13.00964801895842,12.027514113613485,9.76926526871682
31,2-11,13.031689955408693,12.047602870517832,9.851454941378645
32,2-12,12.962927202542009,11.984794752532938,9.852672323466518
33,2-13,12.241152982099266,11.558688177335087,9.57002662649594
34,2-14,13.1471479313728,12.1544247017518,10.144472799713919
35,2-15,12.241536601340812,10.58654011904435,10.24352267156112
36,2-16,13.571709507347084,11.999674800084716,10.74516554326919
37,2-17,13.726601325223736,12.135557532208864,10.938405013813703
38,2-18,13.767601037655812,12.17131602769675,11.036217079909653
39,2-19,13.528972272423587,11.961985241643315,10.897343159876204
40,2-20,9.13357712331135,8.21510979804273,9.504517217486208
41,2-21,8.919745144105221,8.020421061070744,9.751480044874194
42,2-22,9.283644102623962,8.350660023140595,9.52502779805889
43,2-23,8.883217940848786,7.985782459335361,9.915948852633724
44,2-24,9.036514637311424,8.126312983069129,9.834654911511965
45,2-25,7.198866445703926,6.397797244952348,13.616616397384655
46,2-26,7.149659095327428,6.354791540979785,13.831154332740944
47,2-27,7.295615352432717,6.484343337562929,13.443658441544656
48,2-28,7.197534522013744,6.39678711152526,13.807297114218931
49,2-29,7.302459153405229,6.490354612592332,13.548809740005188
